obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,low_load,temperature_drop,sac,safety_first,False,123,-1.1953872156187337,0.0,1973.206375049808,2.396728981215028e-13,0.9152630665046017,1.1702778228589004e-16,0.5997897674554121,0.0,7.313674373626531,0.28086534160487453,0.9152630665046015,0.9152630665046015,0.599789767455412,-0.599789767455412
full,low_load,cold_winter,sac,safety_first,False,123,0.48354344202610655,0.0,1112.00826650696,0.0,0.019100538287897203,0.0,0.7483422662844132,0.0,7.206074783325287,0.23336550487229335,0.019100538287897203,0.019100538287897203,0.7483422662844132,-0.7483422662844132
full,low_load,nominal,sac,safety_first,False,456,0.16063109523441368,0.0,2019.3301561531084,0.0,0.4299357527348498,0.0,0.8077663148910996,0.0,7.245419831316655,0.23215162140363182,0.4299357527348498,0.4299357527348498,0.8077663148910996,-0.8077663148910996
full,low_load,high_load,sac,safety_first,False,456,-1.3820512516028727,0.0,2225.0118530872974,0.0,0.9472130578225387,1.1702778228589004e-16,0.6440746975353854,0.0,7.28247669019383,0.28005099339967426,0.9472130578225386,0.9472130578225386,0.6440746975353853,-0.6440746975353853
full,low_load,low_load,sac,safety_first,False,456,0.7204322722679076,0.0,1739.619705719421,0.0,0.00034728251432540375,5.714247181928225e-20,0.9170072192791088,0.0,7.179673798631366,0.2002224970302029,0.0003472825143254037,0.0003472825143254037,0.9170072192791088,-0.9170072192791088
full,low_load,shock_load,sac,safety_first,False,456,0.17819925526872013,0.0,2022.8265860928216,2.396728981215028e-13,0.42316374370550436,5.851389114294502e-17,0.8118169439776715,0.0,7.244981013409829,0.23215162140363182,0.4231637437055044,0.4231637437055044,0.8118169439776715,-0.8118169439776715
full,low_load,temperature_drop,sac,safety_first,False,456,0.1579142120086359,0.0,2019.6283466830748,0.0,0.4318458065636396,5.851389114294502e-17,0.8071028502117292,0.0,7.245543287752676,0.23215162140363182,0.4318458065636395,0.4318458065636395,0.8071028502117292,-0.8071028502117292
full,low_load,cold_winter,sac,safety_first,False,456,0.2590698476560687,0.0,725.046269578618,1.198364490607514e-13,0.06268449383573538,0.0,0.5591155509866398,0.0,7.195335984066434,0.268274444839698,0.06268449383573538,0.06268449383573538,0.5591155509866398,-0.5591155509866398
full,shock_load,nominal,sac,safety_first,False,42,0.14391578238442365,2.925694557147251e-17,469.0141734824065,0.0,0.049140475777044626,0.0,0.6149510064066089,0.0,7.244272556723301,0.13316524189431203,0.049140475777044626,0.049140475777044626,0.6149510064066089,-0.6149510064066089
full,shock_load,high_load,sac,safety_first,False,42,-0.48222021531040465,5.851389114294502e-17,1018.7261089387073,1.198364490607514e-13,0.6277131446431671,1.1702778228589004e-16,0.49152801929760087,0.0,7.269804438147378,0.1847209934021508,0.6277131446431672,0.6277131446431672,0.4915280192976009,-0.4915280192976009
full,shock_load,low_load,sac,safety_first,False,42,0.11080141070361263,0.0,363.3025156290224,5.99182245303757e-14,0.036291022747004686,0.0,0.5860394268455924,0.0,7.203310097200078,0.13315635683161958,0.036291022747004686,0.036291022747004686,0.5860394268455924,-0.5860394268455924
full,shock_load,shock_load,sac,safety_first,False,42,0.15363883270053996,2.925694557147251e-17,492.82603357352247,0.0,0.049140475777044626,0.0,0.6200886122312514,0.0,7.244364321493393,0.13316524189431203,0.049140475777044626,0.049140475777044626,0.6200886122312514,-0.6200886122312514
full,shock_load,temperature_drop,sac,safety_first,False,42,0.1355636432544183,0.0,447.38656618997027,5.99182245303757e-14,0.049140475777044626,0.0,0.6106568302933872,0.0,7.24452064304929,0.13316524189431203,0.049140475777044626,0.049140475777044626,0.6106568302933872,-0.6106568302933872
full,shock_load,cold_winter,sac,safety_first,False,42,0.005375636929560187,9.14279549108516e-19,418.17023029910285,5.99182245303757e-14,0.0720657276995305,1.4628472785736255e-17,-0.3994039609471468,1.0,7.175448073779046,0.8027798841232261,0.07206572769953051,0.07206572769953051,-0.3994039609471468,0.3994039609471468
full,shock_load,nominal,sac,safety_first,False,123,0.7167041408873567,1.1702778228589004e-16,1697.046834772947,0.0,0.0,0.0,0.9253598426055772,0.0,7.2241760470214285,0.1714716490892829,0.0,0.0,0.9253598426055772,-0.9253598426055772
full,shock_load,high_load,sac,safety_first,False,123,0.5990755415505628,0.0,1838.38169553554,2.396728981215028e-13,0.12137523875672859,0.0,0.9043888915558268,0.0,7.248720231731996,0.19214724121271992,0.12137523875672859,0.12137523875672859,0.9043888915558268,-0.9043888915558268
full,shock_load,low_load,sac,safety_first,False,123,0.615805104605345,0.0,1466.4254317374437,0.0,0.0,0.0,0.8517587379983398,0.0,7.186446199613442,0.1764512094042457,0.0,0.0,0.8517587379983399,-0.8517587379983399
full,shock_load,shock_load,sac,safety_first,False,123,0.7165215400556473,0.0,1696.9331824920507,0.0,0.0,0.0,0.9252959206854815,0.0,7.224241151059192,0.171742934358801,0.0,0.0,0.9252959206854814,-0.9252959206854814
full,shock_load,temperature_drop,sac,safety_first,False,123,0.7175234625566739,0.0,1697.9031267186142,2.396728981215028e-13,0.0,0.0,0.9255212356224847,0.0,7.224650116555649,0.17035062360844472,0.0,0.0,0.9255212356224848,-0.9255212356224848
full,shock_load,cold_winter,sac,safety_first,False,123,-1.154815064949755,0.0,886.8310145182238,0.0,0.7426636568848759,0.0,0.39546918289286104,0.0,7.081996031015859,0.42151507558047535,0.7426636568848759,0.7426636568848759,0.395469182892861,-0.395469182892861
full,shock_load,nominal,sac,safety_first,False,456,0.6207712818909048,0.0,1603.5508695764888,0.0,0.03959020663309602,0.0,0.8868665994107529,0.0,7.22861828768291,0.16588135341997007,0.03959020663309602,0.03959020663309602,0.8868665994107529,-0.8868665994107529
full,shock_load,high_load,sac,safety_first,False,456,0.5266807944555678,0.0,1728.5085897798403,0.0,0.14047577704462583,2.925694557147251e-17,0.8751307976674599,0.0,7.247169857631742,0.18026595875998333,0.1404757770446258,0.1404757770446258,0.8751307976674599,-0.8751307976674599
full,shock_load,low_load,sac,safety_first,False,456,0.3823113547478103,0.0,922.8555149876372,0.0,0.0,0.0,0.6930743311124461,0.0,7.176991811719317,0.17753409631972977,0.0,0.0,0.6930743311124461,-0.6930743311124461
full,shock_load,shock_load,sac,safety_first,False,456,0.6207380419693893,0.0,1602.555721588511,0.0,0.03959020663309602,0.0,0.8866354673500787,0.0,7.228423718986259,0.1662184283318868,0.03959020663309602,0.03959020663309602,0.8866354673500787,-0.8866354673500787
full,shock_load,temperature_drop,sac,safety_first,False,456,0.6209263325552679,0.0,1603.2131268290045,0.0,0.03959020663309602,0.0,0.8868457061294869,0.0,7.229143927025788,0.1679935925172927,0.03959020663309602,0.03959020663309602,0.886845706129487,-0.886845706129487
full,shock_load,cold_winter,sac,safety_first,False,456,0.19627230217952754,2.925694557147251e-17,437.3455915872675,0.0,0.0038201076575794407,4.57139774554258e-19,0.5255208701600029,0.0,7.121857663370578,0.22443588446720658,0.003820107657579441,0.003820107657579441,0.5255208701600029,-0.5255208701600029
