obs_mode,train_scenario,test_scenario,algo,reward_config,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95,curriculum
full,low_load,low_load,sac,safety_first,123,0.498713401,5.551115123e-17,1174.1892854531,0.0,0.0,0.0,0.7877017379,0.0,7.1649896295,0.1624410132,0.0,0.0,0.7877017379,-0.7877017379,False
full,low_load,temperature_drop,sac,safety_first,123,0.4155295282,5.551115123e-17,1664.9515335502,0.0,0.2184786384,2.775557562e-17,0.7995247369,0.0,7.2435133539,0.2041693756,0.2184786384,0.2184786384,0.7995247369,-0.7995247369,False
full,low_load,cold_winter,sac,safety_first,123,-0.7574217235,0.0,1359.8081374721,0.0,0.7349137931,0.0,-9.4941776866,1.0,7.1450251749,0.8001704964,0.7349137931,0.7349137931,-9.4941776866,9.4941776866,False
full,low_load,recovery_test,sac,safety_first,123,0.2097241342,0.0,1569.3638621233,0.0,0.3210005211,5.551115123e-17,0.7313509215,0.0,7.2537882798,0.1972539159,0.3210005211,0.3210005211,0.7313509215,-0.7313509215,False
full,low_load,nominal,sac,safety_first,456,0.3053930754,0.0,1704.8612081042,0.0,0.3094824592,5.551115123e-17,0.7711512245,0.0,7.2452828594,0.2101597558,0.3094824592,0.3094824592,0.7711512245,-0.7711512245,False
full,low_load,high_load,sac,safety_first,456,-1.6377770939,0.0,2158.9484053438,0.0,1.6033344911,2.220446049e-16,0.5868333141,0.0,7.2952458572,0.3644625256,1.6033344911,1.6033344911,0.5868333141,-0.5868333141,False
full,low_load,shock_load,sac,safety_first,456,0.2911387413,0.0,1710.0744849852,0.0,0.3202500868,0.0,0.7678948395,0.0,7.2459904453,0.2097027465,0.3202500868,0.3202500868,0.7678948395,-0.7678948395,False
full,low_load,low_load,sac,safety_first,456,0.5106726887,0.0,1202.8608812549,0.0,0.0,0.0,0.7935183818,0.0,7.1660344646,0.1662691978,0.0,0.0,0.7935183818,-0.7935183818,False
full,low_load,temperature_drop,sac,safety_first,456,0.3053822488,5.551115123e-17,1704.8309294845,0.0,0.3094824592,5.551115123e-17,0.7711432331,0.0,7.2452557693,0.2101759309,0.3094824592,0.3094824592,0.7711432331,-0.7711432331,False
full,low_load,cold_winter,sac,safety_first,456,-0.8946021406,0.0,1393.182755457,0.0,0.8111471861,1.110223025e-16,-9.5178281406,1.0,7.1458695854,0.8033634569,0.8111471861,0.8111471861,-9.5178281406,9.5178281406,False
full,low_load,recovery_test,sac,safety_first,456,0.0449652152,0.0,1606.5407510525,0.0,0.4486711829,5.551115123e-17,0.6877917821,0.0,7.2549083215,0.2044089591,0.4486711829,0.4486711829,0.6877917821,-0.6877917821,False
full,temperature_drop,nominal,sac,safety_first,42,0.6326499998,1.110223025e-16,1723.1961048165,0.0,0.1014241056,0.0,0.8579889876,0.0,7.2277363234,0.2175420153,0.1014241056,0.1014241056,0.8579889876,-0.8579889876,False
full,temperature_drop,high_load,sac,safety_first,42,-1.5596606271,2.220446049e-16,2191.689201451,0.0,1.5824939215,2.220446049e-16,0.5932467128,0.0,7.2821269074,0.3396051869,1.5824939215,1.5824939215,0.5932467128,-0.5932467128,False
full,temperature_drop,shock_load,sac,safety_first,42,0.6132251355,0.0,1728.5730191989,0.0,0.1156651615,1.387778781e-17,0.8533860092,0.0,7.2285069318,0.2169541265,0.1156651615,0.1156651615,0.8533860092,-0.8533860092,False
full,temperature_drop,low_load,sac,safety_first,42,0.5010274185,0.0,1210.4146124726,0.0,0.0,0.0,0.7948707459,0.0,7.1436068791,0.1801302676,0.0,0.0,0.7948707459,-0.7948707459,False
